SmeltGenRowID,FishTagID,Active,SPECIES (Assay ID),# Chroms,V-shape,COMMENTS,q (DS),q (LF),q (WK),Genotype Run
104,2012-052S,TRUE,WAG,,,,0.008,0.004,0.988,160826_Smelt_192.24_A
103,2012-051S,TRUE,WAG,,,,0.0106,0.005,0.9844,160826_Smelt_192.24_A
102,2012-050S,TRUE,DSM,,,,0.9851,0.005,0.0099,160826_Smelt_192.24_A
101,2012-049S,TRUE,WAG,,,,0.006,0.0032,0.9908,160826_Smelt_192.24_A
100,2012-048S,TRUE,WAG,,,,0.006,0.0034,0.9906,160826_Smelt_192.24_A
99,2012-047S,TRUE,WAG,,,,0.006,0.0033,0.9907,160826_Smelt_192.24_A
98,2012-046S,TRUE,WAG,,,,0.0129,0.005,0.9821,160826_Smelt_192.24_A
97,2012-045S,TRUE,WAG,,,,0.007,0.004,0.989,160826_Smelt_192.24_A
95,2012-044S,TRUE,WAG,,,,0.004,0.003,0.993,160826_Smelt_192.24_A
94,2012-043S,TRUE,DSM,,,,0.9915,0.0033,0.0052,160826_Smelt_192.24_A
93,2012-042S,TRUE,DSM,,,,0.9877,0.004,0.0083,160826_Smelt_192.24_A
92,2012-041S,TRUE,WAG,,,,0.0049,0.003,0.9921,160826_Smelt_192.24_A
90,2012-040S,TRUE,DSM,,,,0.9797,0.006,0.0143,160826_Smelt_192.24_A
88,2012-039S,TRUE,WAG,,,,0.0046,0.003,0.9924,160826_Smelt_192.24_A
87,2012-038S,TRUE,WAG,,,,0.0249,0.0079,0.9672,160826_Smelt_192.24_A
86,2012-037S,TRUE,WAG,,,,0.0043,0.003,0.9927,160826_Smelt_192.24_A
85,2012-036S,TRUE,DSM,,,,0.9867,0.005,0.0083,160826_Smelt_192.24_A
84,2012-035S,TRUE,WAG,,,,0.003,0.002,0.995,160826_Smelt_192.24_A
83,2012-034S,TRUE,WAG,,,,0.0163,0.006,0.9777,160826_Smelt_192.24_A
82,2012-033S,TRUE,WAG,,,,0.0045,0.003,0.9925,160826_Smelt_192.24_A
81,2012-032S,TRUE,WAG,,,,0.004,0.003,0.993,160826_Smelt_192.24_A
80,2012-031S,TRUE,WAG,,,,0.0076,0.004,0.9884,160826_Smelt_192.24_A
79,2012-030S,TRUE,LFS,,,,0.0068,0.9844,0.0088,160826_Smelt_192.24_A
78,2012-029S,TRUE,DSM,,,,0.9535,0.0062,0.0403,160826_Smelt_192.24_A
